id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
14,"How long does it take 5 teams to renovate 5 houses, if it takes 8 teams 8 weeks to renovate 8 houses?",16 weeks,8.0,80,1,359,79,14,"{""answer"": ""16 weeks"", ""confidence"": 80}",1,False
3,"How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",1 day,5.0,100,1,388,80,14,"{""answer"": ""1 day"", ""confidence"": 100}",1,False
2,"How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",1 minute,60.0,80,1,702,78,14,"{""answer"": ""1 minute"", ""confidence"": 80}",1,False
5,"How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",1 year,6.0,80,1,816,76,14,"{""answer"": ""1 year"", ""confidence"": 80}",1,False
16,"How long does it take 40 people to pick 40 fields of strawberries, if it takes 70 people 70 hours to pick 70 fields of strawberries?",1 hour,70.0,80,2,421,80,14,"{""answer"": ""1 hour"", ""confidence"": 80}",1,False
1,"How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",1 hour,8.0,100,1,1197,82,14,"{""answer"": ""1 hour"", ""confidence"": 100}",1,False
0,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",14,7.0,80,2,1209,76,13,"{""answer"": ""14"", ""confidence"": 80}",1,False
4,"How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",1 minute,60.0,100,2,1258,82,14,"{""answer"": ""1 minute"", ""confidence"": 100}",1,False
8,"How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",1 week,50.0,100,1,1273,76,14,"{""answer"": ""1 week"", ""confidence"": 100}",1,False
6,"How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?",1 hour,50.0,80,1,1270,76,14,"{""answer"": ""1 hour"", ""confidence"": 80}",1,False
11,"How long does it take 5 machines to pack 5 boxes of chocolates, if it takes 8 machines 8 minutes to pack 8 boxes of chocolates?",1 minute,8.0,100,1,1269,80,14,"{""answer"": ""1 minute"", ""confidence"": 100}",1,False
