id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
6,A coffee table and a mixing bowl together cost $52. The coffee table costs $50. How much does the mixing bowl cost?,2,2.0,100,1,1440,74,13,"{""answer"": ""2"", ""confidence"": 100}",1,True
10,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50. How much does the body lotion cost?,4,4.0,100,1,1442,76,13,"{""answer"": ""4"", ""confidence"": 100}",1,True
4,A chair and a coat together cost $13. The chair costs $10. How much does the coat cost?,3,3.0,100,1,1443,70,13,"{""answer"": ""3"", ""confidence"": 100}",1,True
14,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500. How much does the set of crayons cost?,20,20.0,100,1,1447,82,13,"{""answer"": ""20"", ""confidence"": 100}",1,True
0,A pear and a fridge together cost $140. The pear costs $100. How much does the fridge cost?,40,40.0,100,1,1446,70,13,"{""answer"": ""40"", ""confidence"": 100}",1,True
2,A boat and a potato together cost $110. The boat costs $100. How much does the potato cost?,10,10.0,100,1,1449,70,13,"{""answer"": ""10"", ""confidence"": 100}",1,True
5,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50. How much does the wallet cost?,4,4.0,100,1,1462,76,13,"{""answer"": ""4"", ""confidence"": 100}",1,True
11,A trampoline and a box of batteries together cost $520. The trampoline costs $500. How much does the box of batteries cost?,20,20.0,100,1,1466,76,13,"{""answer"": 20, ""confidence"": 100}",1,True
8,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1. How much does the helmet cost?,0.20,0.2,100,1,1549,78,15,"{""answer"": ""0.20"", ""confidence"": 100}",1,True
9,A sculpture and a box of lipstick together cost $13. The sculpture costs $10. How much does the box of lipstick cost?,3,3.0,100,1,1575,94,13,"{""answer"": ""3"", ""confidence"": 100}",1,True
1,A potato and a camera together cost $1.40. The potato costs $1. How much does the camera cost?,0.40,0.4,100,1,1672,72,15,"{""answer"": ""0.40"", ""confidence"": 100}",1,True
7,A microwave oven and a flower box together cost $51. The microwave oven costs $50. How much does the flower box cost?,1,1.0,100,1,1804,74,13,"{""answer"": ""1"", ""confidence"": 100}",1,True
26,A bag and a food processor together cost $54. The bag costs $50. How much does the food processor cost?,4,4.0,100,1,706,73,13,"{""answer"": ""4"", ""confidence"": 100}",1,True
23,A hat and a mouse together cost $540. The hat costs $500. How much does the mouse cost?,40,40.0,100,1,733,90,13,"{""answer"": ""40"", ""confidence"": 100}",1,True
13,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100. How much does the knife cost?,10,10.0,100,1,2248,74,13,"{""answer"": ""10"", ""confidence"": 100}",1,True
3,A light bulb and a pan together cost $12. The light bulb costs $10. How much does the pan cost?,2,2.0,100,1,2269,72,13,"{""answer"": ""2"", ""confidence"": 100}",1,True
12,A mouse and a can of baby food together cost $1.20. The mouse costs $1. How much does the can of baby food cost?,0.20,0.2,100,1,2412,78,15,"{""answer"": ""0.20"", ""confidence"": 100}",1,True
