id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
10,"A pot of water is boiling on the stove, and with each passing hour, the overall volume of the evaporated water doubles. If the entire pot takes 6 hours to evaporate completely, how long does it take for half of the pot to evaporate?",5 hours,5.0,95,1,1388,104,15,"{""answer"": ""5 hours"", ""confidence"": 95}",1,True
14,"A section of grass is expanding within a garden, with the total area it occupies doubling daily. If it requires 12 days for the entire garden to be encompassed by the grass, how many days are needed for the grass to cover half of the garden?",11,11.0,95,1,1621,104,15,"{""answer"": ""11"", ""confidence"": 95}",1,True
0,"In a city, a virus is spreading, causing the total number of infected individuals to double each day. If it takes 6 days for the entire city's population to be infected, how many days would it require for half of the people to become infected?",PARSE_ERR,5.0,-1,1,2243,100,80,,1,False
8,"A new concrete pavement is drying. The overall area of dried concrete doubles each day. If it requires four days for the entire pavement to dry completely, how many days does it take for half the pavement to become dry?",3,3.0,95,0,2251,95,14,"{""answer"": ""3"", ""confidence"": 95}",1,True
18,"There is a sick student in the class. Each day, the number of sick students doubles. If it takes 6 days for the entire class to become sick, how many days does it take for half of the class to become sick?",PARSE_ERR,5.0,-1,0,674,96,80,,1,False
9,"There is a freezer filled with food, and the total volume of the frozen food doubles every hour. If it takes 16 hours for all the food to become frozen, how long would it take to freeze half of the food?",15 hours,15.0,95,1,2311,98,16,"{""answer"": ""15 hours"", ""confidence"": 95}",1,True
16,"Fish inhabit a creek, and their population doubles each week. If it requires 24 weeks for the entire creek to become completely filled with fish, how long would it take to fill half of the creek with fish?",PARSE_ERR,23.0,-1,1,2394,92,80,,1,False
11,"There is a section of mold on a bread loaf that doubles in size every hour. If it takes 16 hours for the mold to completely cover the bread, how much time is needed for the mold to cover half of the bread?",PARSE_ERR,15.0,-1,1,3027,96,80,,1,False
5,"Fish are migrating and each day, the total distance they cover doubles. If it takes the fish 18 days to reach their destination, how many days would it take for them to cover half the distance?",PARSE_ERR,17.0,-1,0,3102,90,80,,1,False
15,"An investor possesses 1 bitcoin. Each day, their number of bitcoins doubles. If it takes them 30 days to achieve their investment target, how long would it take for them to reach half of that target?",PARSE_ERR,29.0,-1,1,2021,92,80,,1,False
26,"Within a forest, there exists a tree that doubles its height each year. If the tree attains its maximum height in 10 years, determine the time it would take to achieve half of that maximum height.",PARSE_ERR,9.0,-1,1,409,90,80,,1,False
20,"A moss patch is expanding on a rock, doubling its size each day. It takes 300 days for the moss to completely cover the rock. How many days are required for the moss to cover half of the rock?",299,299.0,95,1,1668,97,16,"{""answer"": ""299"", ""confidence"": 95}",1,True
2,"People are escaping from war. Each day, the total count of refugees doubles. If it takes 22 days for the entire population to evacuate, how long would it take for half of the population to do so?",PARSE_ERR,21.0,-1,1,2056,92,80,,1,False
24,"Within a forest, there is a growing patch of ramson that doubles in size each week. If it takes 10 weeks for the entire forest to be covered with ramson, how long would it take for the ramson to cover half of the forest?",9 weeks,9.0,95,1,1510,104,15,"{""answer"": ""9 weeks"", ""confidence"": 95}",1,True
22,"Mushrooms are cultivated in a container, and their quantity doubles daily. Given that it takes 6 days for the mushrooms to fill the entire container, determine the time needed to fill half of the container.",5 days,5.0,95,1,1199,93,15,"{""answer"": ""5 days"", ""confidence"": 95}",1,True
34,"Ants are crawling on a cake, and with each passing minute, their population on the cake doubles. If the entire cake is covered with ants in 30 minutes, how long would it take for half of the cake to be covered with ants?",PARSE_ERR,29.0,-1,1,615,99,80,,1,False
27,"There is a flood occurring in a field. With each passing hour, the size of the flood-stricken area doubles. If it takes 20 hours for the entire field to become submerged, how many hours would it take for half of the field to be inundated?",PARSE_ERR,19.0,-1,0,917,103,80,,1,False
13,"In a cave, there is a colony of bats with a daily population doubling. Given that it takes 60 days for the entire cave to be filled with bats, how many days would it take for the cave to be half-filled with bats?",PARSE_ERR,59.0,-1,0,3163,98,80,,1,False
29,"Programmers are in the process of developing new software and each month the total quantity of written code doubles. If it requires 10 months to complete the entire code, how much time is needed to write half of the code?",PARSE_ERR,9.0,-1,1,491,93,80,,1,False
28,"A barrel is being filled with whiskey, and the total volume of whiskey doubles every minute. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?",11 minutes,11.0,95,1,1254,95,16,"{""answer"": ""11 minutes"", ""confidence"": 95}",1,True
36,"The wood is burning in a fireplace, and the temperature doubles every minute. If it takes 20 minutes for the fireplace to reach a temperature of 600 degrees, how long does it take for the temperature to reach 300 degrees?",PARSE_ERR,19.0,-1,1,3325,100,80,,1,False
21,"Beneath a tree, there is a heap of leaves that doubles in size every week. If it takes four weeks for the pile to attain a height of 4 meters, how much time is required for it to reach a height of 2 meters?",PARSE_ERR,3.0,-1,1,3227,100,80,,1,False
