id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
2,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,10,5.0,100,1,308,80,23," ```json {""answer"": ""10"", ""confidence"": 100} ```",1,False
6,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,2,1.0,100,1,312,83,22," ```json {""answer"": ""2"", ""confidence"": 100} ```",1,False
4,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,3,1.5,100,1,329,78,22," ```json {""answer"": ""3"", ""confidence"": 100} ```",1,False
0,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,40,20.0,100,1,329,80,23," ```json {""answer"": ""40"", ""confidence"": 100} ```",1,False
10,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,4,2.0,100,1,331,85,22," ```json {""answer"": ""4"", ""confidence"": 100} ```",1,False
14,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,20,10.0,100,1,343,92,23," ```json {""answer"": ""20"", ""confidence"": 100} ```",1,False
5,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,4,2.0,100,1,341,82,22," ```json {""answer"": ""4"", ""confidence"": 100} ```",1,False
13,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,10,5.0,100,1,365,84,23," ```json {""answer"": ""10"", ""confidence"": 100} ```",1,False
20,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,30,15.0,100,1,381,88,23," ```json {""answer"": ""30"", ""confidence"": 100} ```",1,False
9,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,3,1.5,100,1,390,84,22," ```json {""answer"": ""3"", ""confidence"": 100} ```",1,False
1,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,0.20,0.2,100,1,480,79,25," ```json {""answer"": ""0.20"", ""confidence"": 100} ```",1,True
11,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,20,10.0,100,1,580,86,23," ```json {""answer"": ""20"", ""confidence"": 100} ```",1,False
19,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,4,2.0,100,1,319,81,22," ```json {""answer"": ""4"", ""confidence"": 100} ```",1,False
